Player,move,pawn,value
3,Move,7,1
3,None,None,0
0,Dice Roll,None,4
0,Move,4,4
0,None,None,0
1,Dice Roll,None,6
1,Set Pawn,9,0
1,Dice Roll,None,1
1,Move,9,1
1,None,None,0
2,Dice Roll,None,6
2,Set Pawn,10,0
2,Dice Roll,None,6
2,Move,6,6
2,Dice Roll,None,2
2,Move,10,2
2,None,None,0
3,Dice Roll,None,2
3,Move,7,2
3,None,None,0
0,Dice Roll,None,3
0,Move,3,3
0,None,None,0
1,Dice Roll,None,5
1,Move,9,5
1,None,None,0
2,Dice Roll,None,5
2,Move,10,5
2,None,None,0
3,Dice Roll,None,3
3,Move,7,3
3,None,None,0
0,Dice Roll,None,1
0,Move,4,1
0,None,None,0
1,Dice Roll,None,2
1,Move,8,2
1,None,None,0
2,Dice Roll,None,1
2,Move,10,1
2,None,None,0
3,Dice Roll,None,4
3,Move,7,4
3,None,None,0
0,Dice Roll,None,5
0,Move,4,5
0,None,None,0
1,Dice Roll,None,5
1,Move,9,5
1,None,None,0
2,Dice Roll,None,1
2,Move,2,1
2,None,None,0
3,Dice Roll,None,6
3,Move,7,6
3,Dice Roll,None,1
3,Move,7,1
3,None,None,0
0,Dice Roll,None,4
0,Move,4,4
0,None,None,0
1,Dice Roll,None,3
1,Move,9,3
1,None,None,0
2,Dice Roll,None,4
2,Move,10,4
2,None,None,0
3,Dice Roll,None,2
3,Move,7,2
3,None,None,0
0,Dice Roll,None,5
0,Move,3,5
0,None,None,0
1,Dice Roll,None,1
1,Move,8,1
1,None,None,0
2,Dice Roll,None,5
2,Move,6,5
2,None,None,0
3,Dice Roll,None,5
3,None,None,0
0,Dice Roll,None,5
0,Move,3,5
0,None,None,0
1,Dice Roll,None,5
1,Move,8,5
1,None,None,0
2,Dice Roll,None,5
2,Move,10,5
2,None,None,0
3,Dice Roll,None,5
3,None,None,0
0,Dice Roll,None,5
0,Move,3,5
0,None,None,0
1,Dice Roll,None,6
1,Set Pawn,11,0
1,Dice Roll,None,5
1,Move,8,5
1,None,None,0
2,Dice Roll,None,4
2,Move,10,4
2,None,None,0
3,Dice Roll,None,3
3,Move,7,3
3,None,None,0
0,Dice Roll,None,4
0,Move,3,4
0,None,None,0
1,Dice Roll,None,4
1,Move,8,4
1,None,None,0
2,Dice Roll,None,1
2,Move,2,1
2,None,None,0
3,Dice Roll,None,1
3,Move,7,1
3,None,None,0
0,Dice Roll,None,4
0,Move,3,4
0,None,None,0
1,Dice Roll,None,6
1,Move,9,6
1,Dice Roll,None,1
1,Move,8,1
1,None,None,0
2,Dice Roll,None,3
2,Move,10,3
2,None,None,0
3,Dice Roll,None,6
3,Set Pawn,12,0
3,Dice Roll,None,1
3,Move,12,1
3,None,None,0
0,Dice Roll,None,2
0,None,None,0
1,Dice Roll,None,2
1,Move,11,2
1,None,None,0
2,Dice Roll,None,3
2,Move,6,3
2,None,None,0
3,Dice Roll,None,5
3,Move,12,5
3,None,None,0
0,Dice Roll,None,1
0,None,None,0
1,Dice Roll,None,5
1,Move,11,5
1,None,None,0
2,Dice Roll,None,6
2,Move,10,6
2,Dice Roll,None,2
2,Move,10,2
2,None,None,0
3,Dice Roll,None,1
3,Move,12,1
3,None,None,0
0,Dice Roll,None,5
0,None,None,0
1,Dice Roll,None,2
1,Move,11,2
1,None,None,0
2,Dice Roll,None,1
2,Move,10,1
2,None,None,0
3,Dice Roll,None,6
3,Move,12,6
3,Dice Roll,None,6
3,Set Pawn,13,0
3,Dice Roll,None,3
3,Move,13,3
3,None,None,0
0,Dice Roll,None,2
0,None,None,0
1,Dice Roll,None,5
1,Move,11,5
1,None,None,0
2,Dice Roll,None,2
2,Move,6,2
2,None,None,0
3,Dice Roll,None,5
3,Move,12,5
3,None,None,0
0,Dice Roll,None,6
0,Set Pawn,1,0
0,Dice Roll,None,1
0,Move,1,1
0,None,None,0
1,Dice Roll,None,1
1,Move,9,1
1,None,None,0
2,Dice Roll,None,5
2,Move,6,5
2,None,None,0
3,Dice Roll,None,4
3,Move,12,4
3,None,None,0
0,Dice Roll,None,4
0,Move,1,4
0,None,None,0
1,Dice Roll,None,3
1,Move,9,3
1,None,None,0
2,Dice Roll,None,2
2,Move,10,2
2,None,None,0
3,Dice Roll,None,4
3,Move,13,4
3,None,None,0
0,Dice Roll,None,4
0,Move,1,4
0,None,None,0
1,Dice Roll,None,1
1,Move,11,1
1,None,None,0
2,Dice Roll,None,1
2,Move,6,1
2,None,None,0
3,Dice Roll,None,6
3,Set Pawn,12,0
3,Dice Roll,None,6
3,Set Pawn,14,0
3,Dice Roll,None,5
3,Move,13,5
3,None,None,0
0,Dice Roll,None,3
0,Move,1,3
0,None,None,0
1,Dice Roll,None,6
1,Move,11,6
1,Dice Roll,None,1
1,Move,11,1
1,None,None,0
2,Dice Roll,None,5
2,Move,6,5
2,None,None,0
3,Dice Roll,None,3
3,Move,12,3
3,None,None,0
0,Dice Roll,None,2
0,Move,1,2
0,None,None,0
1,Dice Roll,None,2
1,Move,9,2
1,None,None,0
2,Dice Roll,None,4
2,Move,6,4
2,None,None,0
3,Dice Roll,None,1
3,Move,14,1
3,None,None,0
0,Dice Roll,None,1
0,Move,1,1
0,None,None,0
1,Dice Roll,None,1
1,Move,11,1
1,None,None,0
2,Dice Roll,None,4
2,None,None,0
3,Dice Roll,None,3
3,Move,14,3
3,None,None,0
0,Dice Roll,None,5
0,Move,1,5
0,None,None,0
1,Dice Roll,None,6
1,Move,9,6
1,Dice Roll,None,2
1,Move,11,2
1,None,None,0
2,Dice Roll,None,3
2,None,None,0
3,Dice Roll,None,4
3,Move,12,4
3,None,None,0
0,Dice Roll,None,5
0,Move,1,5
0,None,None,0
1,Dice Roll,None,3
1,Move,8,3
1,None,None,0
2,Dice Roll,None,4
2,None,None,0
3,Dice Roll,None,3
3,Move,13,3
3,None,None,0
0,Dice Roll,None,2
0,Move,1,2
0,None,None,0
1,Dice Roll,None,2
1,Move,9,2
1,None,None,0
2,Dice Roll,None,1
2,Move,2,1
2,None,None,0
3,Dice Roll,None,3
3,Move,14,3
3,None,None,0
0,Dice Roll,None,4
0,Move,1,4
0,None,None,0
1,Dice Roll,None,2
1,Move,11,2
1,None,None,0
2,Dice Roll,None,4
2,None,None,0
3,Dice Roll,None,1
3,Move,13,1
3,None,None,0
0,Dice Roll,None,1
0,Move,1,1
0,None,None,0
1,Dice Roll,None,2
1,Move,9,2
1,None,None,0
2,Dice Roll,None,2
2,Move,6,2
2,None,None,0
3,Dice Roll,None,3
3,Move,12,3
3,None,None,0
0,Dice Roll,None,5
0,Move,1,5
0,None,None,0
1,Dice Roll,None,4
1,Move,11,4
1,None,None,0
2,Dice Roll,None,5
2,None,None,0
3,Dice Roll,None,6
3,Move,12,6
